action_id,0,1
2100,77395,13298
2111,169148,10874
2113,613847,75590
2114,108592,15789
2115,81281,17077
2116,257001,21854
2119,122871,22189
2121,23109,5240
2122,17847,3685
2123,26164,4757
2124,12291,2715
2125,4037,859
2126,421,129
2128,1799,426
2130,501,67
2131,202,56
2132,306,31
2133,1481,378
2134,121,18
2135,835,139
2136,1688,244
2137,136,51
2142,977569,173073
2143,12770,2335
2145,22183,3686
2146,78967,16241
2148,12,3
2149,3,2
2153,82,10
2155,93481,12604
2156,13108,3202
2160,23086,3251
2166,117893,17169
2168,295,105
2170,1577,0
2172,3,0
2175,74173,10288
2181,579,2
2186,76,12
2188,22368,2243
2191,10,1
2200,1179,185
2205,248,49
2206,2155,351
2215,9030,1748
2216,13359,1774
2225,2,0
2226,15955,4497
2227,5791,1902
2252,16229,4786
2255,1697,503
2257,23228,3299
2260,1965,524
2262,8110,1299
2269,2,0
2279,671,225
2283,2380,3
2291,2006,304
2292,59,0
2296,18242,4251
2301,1221,301
2302,1743,343
2306,72994,13738
2307,1354,272
2309,703,247
2310,12200,2364
2314,13766,2002
2327,56,0
2331,8904,2106
2350,98045,19212
2351,99857,17693
2352,382,107
2353,528,79
2356,5266,940
2357,66244,9612
2358,116814,21332
2359,1293,227
2362,11941,2277
2364,929,280
2365,206,28
2367,19432,1134
2370,897,0
2371,115812,40644
2380,211,10
2382,16,5
2385,257,34
2391,5909,1085
2394,35,4
2440,4289,559
2441,174,4
2442,448,60
2443,345,57
2445,487,80
2446,266,47
2448,20590,3308
2449,236,250
2501,30068,4624
2502,11237,1838
2503,126617,8554
2504,7779,724
2506,9,0
2700,21482,1001
2701,16109,2361
2702,36480,3655
2703,94,9
2704,15195,644
2705,36,1
2706,32857,4323
2707,233,0
2710,39065,2422
2711,2875,99
2712,2688,158
2713,7908,704
2714,10269,691
2715,18,2
2719,11156,856
2720,16695,993
2721,5803,410
2725,5738,447
2726,4706,448
2727,4236,403
2728,4834,437
2729,2590,268
2730,2587,141
2731,868,26
2732,245,19
2733,8064,302
2734,223,28
2735,408,17
2750,1925,202
2751,3639,363
2752,3104,225
2753,2326,292
2755,762,86
2759,5277,361
2761,6920,954
2764,3057,236
2765,35208,4247
2773,62844,6139
2775,114,11
2776,8620,1019
2777,16178,1311
2778,2338,174
2779,796,113
2781,2380,195
2784,23791,1436
2785,71,7
2788,19669,915
2789,1339,81
2790,2022,188
2791,13453,1098
2792,36947,3532
2793,12110,855
2794,1129,175
2797,2360,120
2811,921,23
2812,2770,148
2814,320,16
2820,5479,547
2840,650,94
2841,334,24
2842,321,3
2843,1152,61
2844,539,3647
2845,5141,482
2846,5602,260
2848,3261,238
2850,2895,179
2851,807,52
2852,95,8
2853,844,58
2854,70,3
2855,41,0
2856,62,2
2857,192,11
2858,27,0
2859,35,0
2860,644,66
2861,5,1
2863,22139,3363
2865,55,0
2869,346,25
2873,20596,1613
2874,948,64
2875,486,18
2876,407,11
2877,46,2
2878,37,3
2881,3368,129
2882,23,1
2884,18770,859
2885,336,4
2887,5535,268
2888,3987,83
2890,1,0
2891,177,13
2892,2026,120
2893,3130,64
2894,1870,67
2895,211,2
2896,8,0
2897,249,16
6999,237191,16358
8001,278575,64959
8002,592,45
8006,29,6
8010,3744,1476
8020,355,32
8091,2,0
